Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,58.4,58.71,57.84,58.24,58.24,380445
2021-02-12,57.94,59.82,57.41,59.47,59.47,480822
2021-02-16,59.98,60.95,59.33,60.05,60.05,602332
2021-02-17,60.24,61.73,59.43,61.14,61.14,335419
2021-02-18,61.68,62.26,59.79,60.52,60.52,132035
2021-02-19,60.2,60.29,58.59,59.24,59.24,102427
2021-02-22,58.88,61.84,58.82,61.49,61.49,505773
2021-02-23,62.16,63,60.67,61.67,61.67,570677
2021-02-24,61.29,63.51,60.97,63.22,63.22,489933
2021-02-25,63.39,63.81,62.65,63.53,63.53,510357
2021-02-26,63.46,63.57,61.34,61.5,61.5,472723
2021-03-01,61.95,62.92,59.96,60.64,60.64,456679
2021-03-02,60.23,61.21,59.38,59.75,59.75,464133
2021-03-03,59.55,61.99,59.24,61.28,61.28,465311
2021-03-04,61.08,64.86,60.52,63.83,63.83,694628
2021-03-05,64.16,66.42,63.82,66.09,66.09,573168
2021-03-08,66.68,67.98,64.57,65.05,65.05,533376
2021-03-09,64.73,65.98,63.63,64.01,64.01,554564
2021-03-10,63.84,64.96,63.13,64.44,64.44,498488
2021-03-11,64.7,66.21,64.54,66.02,66.02,441063
2021-03-12,65.96,66.24,65.41,65.61,65.61,321714
2021-03-14,65.56,66.4,64.13,65.39,65.39,378009
2021-03-15,65.33,65.43,63.8,64.8,64.8,317537
2021-03-16,64.75,65.34,63.6,64.6,64.6,254724
2021-03-17,64.42,64.82,58.2,60,60,143597
2021-03-18,59.56,61.72,58.94,61.42,61.42,84171
2021-03-21,61.55,61.9,60.39,61.55,61.55,404370
2021-03-22,61.28,61.35,57.25,57.76,57.76,712317
2021-03-23,57.4,61.34,57.29,61.18,61.18,566291
2021-03-24,60.8,60.86,57.44,58.56,58.56,580105
2021-03-25,58.48,61.36,58.32,60.97,60.97,471996
2021-03-28,60.93,61.77,59.41,61.56,61.56,449360
2021-03-29,61.96,62.27,59.94,60.55,60.55,388188
2021-03-30,60.45,61.17,58.85,59.16,59.16,414162
2021-03-31,59.49,61.75,58.86,61.45,61.45,605567
2021-04-04,61.5,61.5,57.63,58.65,58.65,438864
2021-04-05,58.8,60.9,58.62,59.33,59.33,457348
2021-04-06,59.26,60.04,58.12,59.77,59.77,475537
2021-04-07,59.52,59.93,58.82,59.6,59.6,419913
2021-04-08,59.76,59.95,59.1,59.32,59.32,351436
2021-04-11,59.35,60.77,58.73,59.7,59.7,410218
2021-04-12,59.64,60.59,59.64,60.18,60.18,349733
2021-04-13,60.44,63.44,60.38,63.15,63.15,419813
2021-04-14,62.83,63.57,62.53,63.46,63.46,243370
2021-04-15,63.32,63.88,62.83,63.13,63.13,87795
2021-04-18,62.98,63.63,62.63,63.38,63.38,74384
2021-04-19,63.47,64.25,61.5,62.44,62.44,476046
2021-04-20,62.39,62.56,60.86,61.35,61.35,431486
2021-04-21,61.11,61.87,60.61,61.43,61.43,344700
2021-04-22,61.65,62.43,61.25,62.14,62.14,345407
2021-04-25,62.06,62.31,60.66,61.91,61.91,366865
2021-04-26,61.97,63.3,61.91,62.94,62.94,361536
2021-04-27,63.04,64.53,62.67,63.86,63.86,387683
2021-04-28,63.7,65.47,63.65,65.01,65.01,384489
2021-04-29,64.88,64.95,63.08,63.58,63.58,400515
2021-05-02,63.64,64.68,62.91,64.49,64.49,285969
2021-05-03,64.53,66.19,64.29,65.69,65.69,370208
2021-05-04,66.45,66.76,64.92,65.63,65.63,460066
2021-05-05,65.27,65.98,64.5,64.71,64.71,389214
2021-05-06,64.9,65.24,63.9,64.9,64.9,431417
2021-05-09,65.57,65.75,63.95,64.92,64.92,448337
2021-05-10,64.9,65.5,63.68,65.28,65.28,514949
2021-05-11,65.46,66.63,64.97,66.08,66.08,508519
2021-05-12,65.75,65.81,63.09,63.82,63.82,547691
2021-05-13,63.83,65.62,63.33,65.37,65.37,383749
2021-05-16,65.5,66.43,64.83,66.27,66.27,268476
2021-05-17,66.33,67.01,64.11,65.49,65.49,167348
2021-05-18,65.28,65.35,61.95,63.36,63.36,101902
2021-05-19,63.39,63.96,61.89,62.05,62.05,524168
2021-05-20,61.89,64.07,61.56,63.58,63.58,530831
2021-05-23,63.87,66.14,63.63,66.05,66.05,466647
2021-05-24,66.02,66.51,65.41,66.07,66.07,497394
2021-05-25,66.04,66.43,65.25,66.21,66.21,376207
2021-05-26,66.16,66.92,65.47,66.85,66.85,337542
2021-05-27,66.95,67.52,66.17,66.32,66.32,390461
2021-05-31,66.68,68.87,66.41,67.72,67.72,570985
2021-06-01,67.99,69,67.78,68.83,68.83,332995
2021-06-02,68.76,69.4,68.19,68.81,68.81,351367
2021-06-03,68.91,69.76,68.33,69.62,69.62,326250
2021-06-06,69.52,70,68.93,69.23,69.23,365621
